"d_r_uuid";"dws";"dns";"so";"version";"license_id"
"a492efd1-3774-4358-9090-265aa9fd8540";"e34af6eca70b144946369052ceef0c0f";"dfd35bcd73d6d54371acba989fb449a0";"d41d8cd98f00b204e9800998ecf8427e";"v2.1.9";1450
"6b0028a6-9543-4b05-89e3-6c52143287a8";"e3b20564fd17b96cf9505c37470c95a7";"141ca2da1b7c255785168aea2d12cc98";"d41d8cd98f00b204e9800998ecf8427e";"upstream/upstream/isis-security-shiro-1.0.0-RC1";45
"3f503880-3a3e-4c78-9d1c-01fa18f26e9b";"e4f30f006d4c081f15e12d0061a3c1c0";"5c9d8eb0d7447243ea895810b6d98ed6";"d41d8cd98f00b204e9800998ecf8427e";"6.0.0";-1
"a0df4562-9825-4b45-9107-c597d84de6d0";"e6353b78fd92059e56d7fdcfe10c791c";"9b1af914e193dd4e02cfe122929099ee";"44fd479a521e17108b0dc56503a46547";"upstream/origin/isis-viewer-restfulobjects-1.0.0";45
"9c16dba1-4a5e-40e5-a53c-86749221ac82";"e659a776ebea9868bc1df3938b2c52ec";"f07c9cb35bea0f0c5ff863ebec5fc9d3";"d41d8cd98f00b204e9800998ecf8427e";"Additional Versions";30
"9c16dba1-4a5e-40e5-a53c-86749221ac82";"e659a776ebea9868bc1df3938b2c52ec";"f07c9cb35bea0f0c5ff863ebec5fc9d3";"d41d8cd98f00b204e9800998ecf8427e";"Additional Versions";22
"9c16dba1-4a5e-40e5-a53c-86749221ac82";"e659a776ebea9868bc1df3938b2c52ec";"f07c9cb35bea0f0c5ff863ebec5fc9d3";"d41d8cd98f00b204e9800998ecf8427e";"Additional Versions";34
"9c16dba1-4a5e-40e5-a53c-86749221ac82";"e659a776ebea9868bc1df3938b2c52ec";"f07c9cb35bea0f0c5ff863ebec5fc9d3";"d41d8cd98f00b204e9800998ecf8427e";"Additional Versions";11
"9c16dba1-4a5e-40e5-a53c-86749221ac82";"e659a776ebea9868bc1df3938b2c52ec";"f07c9cb35bea0f0c5ff863ebec5fc9d3";"d41d8cd98f00b204e9800998ecf8427e";"Additional Versions";31
"bf5e7b52-3f55-48d6-a784-e8d759b3ce26";"e669ee058094cc5c781f64f30a1f31f8";"5092ae1d081c8a8a0d7f9b0e78a308a0";"d41d8cd98f00b204e9800998ecf8427e";"4.2.3";1450
"3f503880-3a3e-4c78-9d1c-01fa18f26e9b";"e67303237640067fa2b77c3713669d0d";"827d850f5dd8692115a40d37640eb065";"0b212ee64c5cf26903356979398aeab1";"6.0.0";-1
"cb710365-be58-41cf-91ea-6d49d9b28d01";"e69f141e3d820d848e32c2c2115bcce4";"5c9f3340923c8c58777e26e5a7436ff1";"d41d8cd98f00b204e9800998ecf8427e";"REL_2.7-20150812220036+0000";45
"3dec9166-bd9d-45d3-acae-9c78adb1a684";"e72c5bbbf8e54efbae9d7f8bacf83c78";"4847d42a5b0780b17543c7ad7104a971";"32bb88893c2ea5586b6ce0f2c007ce4d";"2.15.2";45
"3186e8de-1fa1-4bc4-8f76-3fcdebbcea1d";"6362a72d5758a81a7dee83fa972e247c";"8b34a9b7e1bb8592ec773534f886d386";"d41d8cd98f00b204e9800998ecf8427e";"0.2.0";45
"0c56251f-445c-4863-8939-5d96af475511";"b99692b6c12e92f695f74d9fb7dabf09";"d1ccb27e03c411d24cf3c5dd900c8bcb";"d7b434fabfedc268f13d6333f9dd9b8e";"jclouds-1.5.5";45
"317aad06-7ed0-4744-a578-d3e0a9657ed1";"41de1461e5ee84ed71a841586560723f";"e4297b536b905bf79c6e26c5db356fdd";"d41d8cd98f00b204e9800998ecf8427e";"1.4.2+20140406";34
"d55171d5-093e-4927-afcd-ed1b5cc564dd";"06cdb66a9559157db9b4e711a7bba144";"8e97072ad245e89a081755ff1f44cd92";"8279cd70f157e2cd777496fc38f25982";"1.5.10";45
"88f97818-0fee-4796-966f-568c62e5bd52";"e84b17465c5228eb3bd886e1880e6fb9";"d74f7d06358921dbb911cac6c4f9f3cf";"d41d8cd98f00b204e9800998ecf8427e";"4.1.3";-1
"29cad3e1-aa02-4ae2-bc89-f1fdbfd9709f";"e92714973bad2eb86898c7f143413edc";"24af86b39f9758890ea0ee5e506809bf";"d41d8cd98f00b204e9800998ecf8427e";"10.0.0.CR5";11
"8af515ed-25f9-47ea-922b-3b95bfc3aff5";"e98153a050e3fcdf749104bb6dc6872b";"1838e18393f353ebe0d94ddf7c71be4e";"d41d8cd98f00b204e9800998ecf8427e";"UDK2010.SR1.UP1";3
